id_corrida,fecha,dia_semana,horario_salida,ruta,terminal_origen,tipo_unidad,capacidad,pasajeros,ocupacion_pct,precio_boleto,ingresos_totales,temporada,anio,mes,mes_nombre,dia_num,es_fin_semana
ADO-01670,2024-04-25,Thursday,18:00,CDMX-CUERNAVACA,Sur,OCC,42,36.0,85.7,220.0,7920.0,Baja,2024,4,April,3,0
ADO-01899,2024-12-15,Sunday,15:00,CDMX-TLAXCALA,Norte,Primera Plus,36,33.0,91.7,228.0,7524.0,Alta,2024,12,December,6,1
ADO-02020,2024-02-07,Wednesday,19:00,CDMX-QUERÉTARO,Poniente,Primera Plus,36,23.0,63.9,384.0,8832.0,Baja,2024,2,February,2,0
ADO-00171,2024-12-24,Tuesday,19:00,CDMX-QUERÉTARO,Poniente,Ejecutivo,24,16.0,66.7,320.0,5120.0,Alta,2024,12,December,1,0
ADO-00569,2024-08-31,Saturday,17:00,CDMX-PACHUCA,Poniente,ADO GL,48,37.0,77.1,180.5,6678.5,Alta,2024,8,August,5,1
ADO-02395,2024-03-05,Tuesday,07:00,CDMX-TLAXCALA,TAPO,Primera Plus,36,28.0,77.8,288.0,8064.0,Baja,2024,3,March,1,0
ADO-00464,2024-10-02,Wednesday,10:00,CDMX-CUERNAVACA,TAPO,ADO GL,48,32.0,66.7,220.0,7040.0,Baja,2024,10,October,2,0
ADO-00213,2024-04-23,Tuesday,11:00,CDMX-QUERÉTARO,Observatorio,Ejecutivo,24,27.0,75.0,304.0,5472.0,Baja,2024,4,April,1,0
ADO-01573,2024-03-23,Saturday,14:00,CDMX-PUEBLA,Norte,ADO GL,48,42.0,87.5,280.0,11760.0,Baja,2024,3,March,5,1
ADO-01539,2024-05-22,Wednesday,08:00,CDMX-PUEBLA,Poniente,ADO GL,48,31.0,64.6,280.0,8680.0,Baja,2024,5,May,2,0
ADO-01653,2024-10-26,Saturday,20:00,CDMX-TOLUCA,Observatorio,Ejecutivo,24,20.0,83.3,216.0,4320.0,Baja,2024,10,October,5,1
ADO-01724,2024-10-24,Thursday,18:00,CDMX-QUERÉTARO,TAPO,Ejecutivo,24,20.0,83.3,320.0,6400.0,Baja,2024,10,October,3,0
ADO-00931,2024-12-24,Tuesday,21:00,CDMX-QUERÉTARO,Observatorio,Primera Plus,36,21.0,58.3,320.0,6720.0,Alta,2024,12,December,1,0
ADO-02121,2024-03-28,Thursday,20:00,CDMX-PUEBLA,Norte,Ejecutivo,24,22.0,91.7,308.0,6776.0,Baja,2024,3,March,3,0
ADO-01000,2024-12-23,Monday,12:00,CDMX-CUERNAVACA,Observatorio,Ejecutivo,24,17.0,70.8,220.0,3740.0,Alta,2024,12,December,0,0
ADO-01085,2024-01-24,Wednesday,17:00,CDMX-PUEBLA,Observatorio,ADO GL,48,40.0,83.3,280.0,11200.0,Alta,2024,1,January,2,0
ADO-00509,2024-06-11,Tuesday,17:00,CDMX-TLAXCALA,Norte,Ejecutivo,24,19.0,79.2,288.0,5472.0,Baja,2024,6,June,1,0
ADO-00240,2024-01-14,Sunday,07:00,CDMX-TOLUCA,Observatorio,OCC,42,42.0,100.0,180.0,7560.0,Alta,2024,1,January,6,1
ADO-01868,2024-10-30,Wednesday,14:00,CDMX-CUERNAVACA,Poniente,OCC,42,32.0,76.2,220.0,7040.0,Baja,2024,10,October,2,0
ADO-00135,2024-06-14,Friday,18:00,CDMX-PUEBLA,Observatorio,Ejecutivo,24,16.0,66.7,308.0,4928.0,Baja,2024,6,June,4,0
ADO-01876,2024-07-06,Saturday,17:00,CDMX-TOLUCA,Poniente,OCC,42,42.0,100.0,216.0,9072.0,Alta,2024,7,July,5,1
ADO-01592,2024-11-11,Monday,16:00,CDMX-PUEBLA,TAPO,ADO GL,48,14.0,29.2,280.0,3920.0,Baja,2024,11,November,0,0
ADO-02472,2024-11-22,Friday,08:00,CDMX-TOLUCA,Sur,Primera Plus,36,36.0,100.0,216.0,7776.0,Baja,2024,11,November,4,0
ADO-02444,2024-12-29,Sunday,20:00,CDMX-QUERÉTARO,Norte,Primera Plus,36,33.0,91.7,304.0,10032.0,Alta,2024,12,December,6,1
ADO-01884,2024-03-02,Saturday,20:00,CDMX-PUEBLA,Norte,Ejecutivo,24,18.0,75.0,280.0,5040.0,Baja,2024,3,March,5,1
ADO-00813,2024-11-29,Friday,12:00,CDMX-CUERNAVACA,Poniente,Primera Plus,36,29.0,80.6,220.0,6380.0,Baja,2024,11,November,4,0
ADO-01695,2024-06-30,Sunday,18:00,CDMX-QUERÉTARO,Sur,OCC,42,42.0,100.0,320.0,13440.0,Baja,2024,6,June,6,1
ADO-02030,2024-09-19,Thursday,20:00,CDMX-PUEBLA,TAPO,Primera Plus,36,21.0,58.3,266.0,5586.0,Baja,2024,9,September,3,0
ADO-01656,2024-05-04,Saturday,12:00,CDMX-PACHUCA,TAPO,Ejecutivo,24,19.0,79.2,209.0,3971.0,Baja,2024,5,May,5,1
ADO-01767,2024-09-22,Sunday,11:00,CDMX-QUERÉTARO,Sur,,42,42.0,100.0,304.0,12768.0,Baja,2024,9,September,6,1
ADO-01945,2024-04-16,Tuesday,19:00,CDMX-PUEBLA,Norte,Primera Plus,36,31.0,86.1,280.0,8680.0,Baja,2024,4,April,1,0
ADO-01488,2024-05-14,Tuesday,13:00,CDMX-PACHUCA,Poniente,OCC,42,18.0,42.9,209.0,3762.0,Baja,2024,5,May,1,0
ADO-00299,2024-09-13,Friday,07:00,CDMX-PUEBLA,Poniente,Ejecutivo,24,21.0,87.5,266.0,5586.0,Baja,2024,9,September,4,0
ADO-00234,2024-05-01,Wednesday,15:00,CDMX-TOLUCA,Poniente,OCC,42,24.0,57.1,216.0,5184.0,Baja,2024,5,May,2,0
ADO-00212,2024-05-04,Saturday,18:00,CDMX-TOLUCA,Sur,Ejecutivo,24,24.0,100.0,180.0,4320.0,Baja,2024,5,May,5,1
ADO-01284,2024-05-29,Wednesday,06:00,CDMX-QUERÉTARO,TAPO,Primera Plus,36,27.0,75.0,320.0,8640.0,Baja,2024,5,May,2,0
ADO-01726,2024-04-28,Sunday,13:00,CDMX-TLAXCALA,Poniente,Ejecutivo,24,23.0,95.8,228.0,5244.0,Baja,2024,4,April,6,1
ADO-02456,2024-01-03,Wednesday,13:00,CDMX-CUERNAVACA,Poniente,Ejecutivo,24,19.0,79.2,242.0,4598.0,Alta,2024,1,January,2,0
ADO-01953,2024-01-16,Tuesday,11:00,CDMX-PUEBLA,Observatorio,ADO GL,48,25.0,52.1,308.0,7700.0,Alta,2024,1,January,1,0
ADO-02299,2024-03-22,Friday,10:00,CDMX-TLAXCALA,Sur,Primera Plus,36,26.0,72.2,240.0,6240.0,Baja,2024,3,March,4,0
ADO-01949,2024-06-12,Wednesday,20:00,CDMX-QUERÉTARO,Sur,Primera Plus,36,28.0,77.8,304.0,8512.0,Baja,2024,6,June,2,0
ADO-00179,2024-04-29,Monday,10:00,CDMX-QUERÉTARO,Norte,Ejecutivo,24,14.0,58.3,320.0,4480.0,Baja,2024,4,April,0,0
ADO-01495,2024-04-03,Wednesday,06:00,CDMX-PUEBLA,Norte,Ejecutivo,24,20.0,83.3,280.0,5600.0,Baja,2024,4,April,2,0
ADO-01880,2024-09-02,Monday,07:00,CDMX-TOLUCA,Norte,ADO GL,48,33.0,68.8,171.0,5643.0,Baja,2024,9,September,0,0
ADO-02346,2024-06-24,Monday,22:00,CDMX-CUERNAVACA,Norte,Ejecutivo,24,18.0,75.0,209.0,3762.0,Baja,2024,6,June,0,0
ADO-00835,2024-10-12,Saturday,09:00,CDMX-CUERNAVACA,Norte,Primera Plus,36,35.0,97.2,220.0,7700.0,Baja,2024,10,October,5,1
ADO-00486,2024-02-18,Sunday,10:00,CDMX-CUERNAVACA,TAPO,OCC,42,28.0,66.7,264.0,7392.0,Baja,2024,2,February,6,1
ADO-00522,2024-06-28,Friday,09:00,CDMX-QUERÉTARO,TAPO,Ejecutivo,24,20.0,83.3,352.0,7040.0,Baja,2024,6,June,4,0
ADO-01406,2024-08-31,Saturday,09:00,CDMX-PACHUCA,Norte,OCC,42,38.0,90.5,228.0,8664.0,Alta,2024,8,August,5,1
ADO-00174,2024-09-07,Saturday,19:00,CDMX-CUERNAVACA,TAPO,ADO GL,48,28.0,100.0,209.0,5852.0,Baja,2024,9,September,5,1
ADO-00112,2024-05-21,Tuesday,22:00,CDMX-PACHUCA,TAPO,ADO GL,48,31.0,64.6,190.0,5890.0,Baja,2024,5,May,1,0
ADO-01707,2024-09-10,Tuesday,13:00,CDMX-PUEBLA,Norte,Primera Plus,36,26.0,72.2,266.0,6916.0,Baja,2024,9,September,1,0
ADO-01524,2024-01-07,Sunday,09:00,CDMX-CUERNAVACA,Sur,OCC,42,37.0,88.1,220.0,8140.0,Alta,2024,1,January,6,1
ADO-01272,2024-06-23,Sunday,16:00,CDMX-PUEBLA,TAPO,Primera Plus,36,33.0,91.7,336.0,11088.0,Baja,2024,6,June,6,1
ADO-02203,2024-09-10,Tuesday,19:00,CDMX-PUEBLA,Norte,Primera Plus,36,31.0,86.1,280.0,8680.0,Baja,2024,9,September,1,0
ADO-02246,2024-02-11,Sunday,21:00,CDMX-CUERNAVACA,Observatorio,OCC,42,36.0,85.7,209.0,7524.0,Baja,2024,2,February,6,1
ADO-01511,2024-03-01,Friday,13:00,CDMX-PUEBLA,Observatorio,Ejecutivo,24,12.0,50.0,280.0,3360.0,Baja,2024,3,March,4,0
ADO-01585,2024-10-17,Thursday,18:00,CDMX-PUEBLA,Norte,Ejecutivo,24,20.0,83.3,308.0,6160.0,Baja,2024,10,October,3,0
ADO-00913,2024-12-25,Wednesday,18:00,CDMX-CUERNAVACA,Sur,ADO GL,48,39.0,81.2,242.0,9438.0,Alta,2024,12,December,2,0
ADO-01117,2024-07-17,Wednesday,18:00,CDMX-PUEBLA,Norte,ADO GL,48,48.0,100.0,280.0,13440.0,Alta,2024,7,July,2,0
ADO-00355,2024-03-14,Thursday,20:00,CDMX-TLAXCALA,Observatorio,Ejecutivo,24,15.0,62.5,264.0,3960.0,Baja,2024,3,March,3,0
ADO-00368,2024-06-29,Saturday,10:00,CDMX-PUEBLA,Poniente,OCC,42,35.0,83.3,336.0,11760.0,Baja,2024,6,June,5,1
ADO-01843,2024-02-21,Wednesday,21:00,CDMX-QUERÉTARO,Norte,OCC,42,27.0,57.1,352.0,8448.0,Baja,2024,2,February,2,0
ADO-01466,2024-03-10,Sunday,21:00,CDMX-TOLUCA,Sur,Ejecutivo,24,22.0,91.7,180.0,3960.0,Baja,2024,3,March,6,1
