id_corrida,fecha,dia_semana,horario_salida,ruta,terminal_origen,tipo_unidad,capacidad,pasajeros,ocupacion_pct,precio_boleto,ingresos_totales,temporada
ADO-02118,2024-12-25,Wednesday,10:00,CDMX-Querétaro,Observatorio,Ejecutivo,24,12.0,50.0,304.0,3648.0,Alta
ADO-00441,2024-07-02,Tuesday,18:00,cdmx - puebla,Sur,Primera Plus,36,30.0,83.3,280.0,8400.0,Alta
ADO-01533,2024-04-24,Wednesday,15:00,cdmx - puebla,TAPO,ADO GL,48,33.0,68.8,336.0,11088.0,Baja
ADO-00219,2024-08-24,Saturday,07:00,CDMX - Toluca,Norte,Ejecutivo,24,22.0,91.7,180.0,3960.0,Alta
ADO-01079,15-09-2024,Sunday,16:00,CDMX-Queretaro,TAPO,Ejecutivo,24,,100.0,352.0,8448.0,Baja
ADO-01115,2024-06-06,Thursday,07:00,CDMX-Puebla,Poniente,Ejecutivo,24,19.0,79.2,280.0,5320.0,Baja
ADO-01793,2024-05-13,Monday,15:00,CDMX-Tlaxcala,Norte,ADO GL,48,30.0,62.5,240.0,7200.0,Baja
ADO-00195,22-10-2024,Tuesday,12:00,CDMX-Cuernavaca,Sur,Primera Plus,36,24.0,66.7,220.0,-5280.0,Baja
ADO-02479,2024/02/24,Saturday,15:00,CDMX-Puebla,Norte,Primera Plus,36,24.0,66.7,308.0,7392.0,Baja
ADO-01407,14/03/2024,Thursday,22:00,CDMX-Cuernavaca,Poniente,Ejecutivo,24,11.0,45.8,242.0,2662.0,Baja
ADO-01062,2024-02-20,Tuesday,22:00,CDMX-Querétaro,Norte,OCC,42,12.0,28.6,304.0,3648.0,Baja
ADO-01725,2024-03-22,Friday,09:00,CDMX-Querétaro,Sur,,24,16.0,66.7,304.0,4864.0,Baja
ADO-02070,2024/07/06,Saturday,06:00,CDMX-Toluca,TAPO,Primera Plus,36,34.0,94.4,180.0,6120.0,Alta
ADO-00901,2024-02-24,Saturday,08:00,cdmx-queretaro,Observatorio,ADO GL,48,48.0,100.0,352.0,,Baja
ADO-00094,2024-05-02,Thursday,21:00,CDMX - Puebla,Observatorio,Ejecutivo,24,14.0,58.3,280.0,3920.0,Baja
ADO-02156,24/07/2024,Wednesday,10:00,CDMX-Puebla,Observatorio,Primera Plus,36,20.0,55.6,280.0,5600.0,Alta
ADO-01799,2024/06/21,Friday,09:00,CDMX-cuernavaca,TAPO,Ejecutivo,24,22.0,91.7,209.0,4598.0,Baja
ADO-02017,2024-10-30,Wednesday,07:00,CDMX - Toluca,Sur,OCC,42,32.0,76.2,180.0,,Baja
ADO-02352,29-05-2024,Wednesday,13:00,CDMX-Pachuca,Observatorio,Primera Plus,36,26.0,72.2,180.5,4693.0,Baja
ADO-02013,12/03/2024,Tuesday,14:00,CDMX - Toluca,Poniente,Ejecutivo,24,13.0,54.2,180.0,2340.0,Baja
ADO-01310,14/07/2024,Sunday,11:00,CDMX-Puebla,Poniente,OCC,42,38.0,90.5,280.0,10640.0,Alta
ADO-01670,2024-04-25,Thursday,18:00,CDMX-cuernavaca,Sur,OCC,42,36.0,85.7,220.0,7920.0,Baja
ADO-01899,2024/12/15,Sunday,15:00,CDMX-Tlaxcala,Norte,Primera Plus,36,33.0,91.7,228.0,7524.0,Alta
ADO-02020,2024-02-07,Wednesday,19:00,cdmx-queretaro,Poniente,Primera Plus,36,23.0,63.9,384.0,8832.0,Baja
ADO-00171,2024/12/24,Tuesday,19:00,CDMX-Queretaro,Poniente,Ejecutivo,24,16.0,66.7,320.0,5120.0,Alta
ADO-00569,31-08-2024,Saturday,17:00,CDMX-Pachuca,Poniente,ADO GL,48,37.0,77.1,180.5,6678.5,Alta
ADO-01362,2024-05-04,Saturday,08:00,CDMX-cuernavaca,Poniente,Ejecutivo,24,24.0,100.0,220.0,5280.0,Baja
ADO-02395,2024/03/05,Tuesday,07:00,CDMX-Tlaxcala,TAPO,Primera Plus,36,28.0,77.8,288.0,8064.0,Baja
ADO-00464,2024-10-02,Wednesday,10:00,CDMX-cuernavaca,TAPO,ADO GL,48,32.0,66.7,220.0,7040.0,Baja
ADO-00213,2024-04-23,Tuesday,11:00,cdmx-queretaro,Observatorio,Ejecutivo,24,,75.0,304.0,5472.0,Baja
ADO-01573,2024-03-23,Saturday,14:00,cdmx - puebla,Norte,ADO GL,48,42.0,87.5,280.0,11760.0,Baja
ADO-01539,22/05/2024,Wednesday,08:00,CDMX - Puebla,Poniente,ADO GL,48,31.0,64.6,280.0,8680.0,Baja
ADO-01653,2024-10-26,Saturday,20:00,CDMX-Toluca,Observatorio,Ejecutivo,24,20.0,83.3,216.0,4320.0,Baja
ADO-01724,24-10-2024,Thursday,18:00,cdmx-queretaro,TAPO,Ejecutivo,24,20.0,83.3,320.0,6400.0,Baja
ADO-00297,2024-09-15,Sunday,14:00,CDMX - Toluca,Poniente,Ejecutivo,24,22.0,91.7,180.0,3960.0,Baja
ADO-00931,2024-12-24,Tuesday,21:00,CDMX-Querétaro,Observatorio,Primera Plus,36,21.0,58.3,320.0,6720.0,Alta
ADO-02121,28-03-2024,Thursday,20:00,CDMX-Puebla,Norte,Ejecutivo,24,22.0,91.7,308.0,,Baja
ADO-01000,23/12/2024,Monday,12:00,CDMX-cuernavaca,Observatorio,Ejecutivo,24,17.0,70.8,220.0,3740.0,Alta
ADO-01085,24/01/2024,Wednesday,17:00,CDMX - Puebla,Observatorio,ADO GL,48,40.0,83.3,280.0,11200.0,Alta
ADO-00509,2024-06-11,Tuesday,17:00,CDMX-Tlaxcala,Norte,Ejecutivo,24,19.0,79.2,288.0,5472.0,Baja
ADO-00240,2024-01-14,Sunday,07:00,CDMX-Toluca,Observatorio,OCC,42,42.0,100.0,180.0,7560.0,Alta
ADO-01868,2024-10-30,Wednesday,14:00,CDMX-cuernavaca,Poniente,OCC,42,32.0,76.2,220.0,7040.0,Baja
ADO-00135,2024-06-14,Friday,18:00,cdmx - puebla,Observatorio,Ejecutivo,24,16.0,66.7,308.0,4928.0,Baja
ADO-01876,2024-07-06,Saturday,17:00,CDMX - Toluca,Poniente,OCC,42,42.0,100.0,216.0,9072.0,Alta
ADO-01592,11-11-2024,Monday,16:00,CDMX - Puebla,TAPO,ADO GL,48,14.0,29.2,280.0,3920.0,Baja
ADO-02472,22/11/2024,Friday,08:00,CDMX - Toluca,Sur,Primera Plus,36,36.0,100.0,216.0,7776.0,Baja
ADO-02444,2024/12/29,Sunday,20:00,cdmx-queretaro,Norte,Primera Plus,36,33.0,91.7,304.0,10032.0,Alta
ADO-01884,02-03-2024,Saturday,20:00,CDMX-Puebla,Norte,Ejecutivo,24,18.0,75.0,280.0,5040.0,Baja
ADO-00813,2024-11-29,Friday,12:00,CDMX-cuernavaca,Poniente,Primera Plus,36,29.0,80.6,220.0,6380.0,Baja
ADO-01695,30-06-2024,Sunday,18:00,CDMX-Querétaro,Sur,OCC,42,42.0,100.0,320.0,13440.0,Baja
ADO-02030,2024-09-19,Thursday,20:00,cdmx - puebla,TAPO,Primera Plus,36,21.0,58.3,266.0,5586.0,Baja
ADO-01656,2024-05-04,Saturday,12:00,CDMX-Pachuca,TAPO,Ejecutivo,24,19.0,79.2,209.0,3971.0,Baja
ADO-01767,2024/09/22,Sunday,11:00,CDMX-Queretaro,Sur,,42,42.0,100.0,304.0,12768.0,Baja
ADO-01945,2024-04-16,Tuesday,19:00,CDMX-Puebla,Norte,Primera Plus,36,31.0,86.1,280.0,8680.0,Baja
ADO-01488,14/05/2024,Tuesday,13:00,CDMX - Pachuca,Poniente,OCC,42,18.0,42.9,209.0,3762.0,Baja
ADO-00299,2024-09-13,Friday,07:00,CDMX-Puebla,Poniente,Ejecutivo,24,21.0,87.5,266.0,5586.0,Baja
ADO-00234,2024-05-01,Wednesday,15:00,CDMX - Toluca,Poniente,OCC,42,24.0,57.1,216.0,5184.0,Baja
ADO-00212,04/05/2024,Saturday,18:00,CDMX-Toluca,Sur,Ejecutivo,24,24.0,100.0,180.0,4320.0,Baja
ADO-01284,2024-05-29,Wednesday,06:00,cdmx-queretaro,TAPO,Primera Plus,36,27.0,75.0,320.0,8640.0,Baja
ADO-01726,28-04-2024,Sunday,13:00,CDMX-Tlaxcala,Poniente,Ejecutivo,24,23.0,95.8,228.0,5244.0,Baja
ADO-02456,2024-01-03,Wednesday,13:00,CDMX-Cuernavaca,Poniente,Ejecutivo,24,19.0,79.2,242.0,4598.0,Alta
ADO-01953,2024-01-16,Tuesday,11:00,CDMX - Puebla,Observatorio,ADO GL,48,25.0,52.1,308.0,7700.0,Alta
ADO-02299,22-03-2024,Friday,10:00,CDMX-Tlaxcala,Sur,Primera Plus,36,26.0,72.2,240.0,6240.0,Baja
ADO-01949,2024-06-12,Wednesday,20:00,cdmx-queretaro,Sur,Primera Plus,36,28.0,77.8,304.0,8512.0,Baja
ADO-00179,2024/04/29,Monday,10:00,cdmx-queretaro,Norte,Ejecutivo,24,14.0,58.3,320.0,4480.0,Baja
ADO-01495,2024-04-03,Wednesday,06:00,CDMX-Puebla,Norte,Ejecutivo,24,20.0,83.3,280.0,5600.0,Baja
ADO-01880,2024-09-02,Monday,07:00,CDMX-Toluca,Norte,ADO GL,48,33.0,68.8,171.0,5643.0,Baja
ADO-02346,2024-06-24,Monday,22:00,CDMX-Cuernavaca,Norte,Ejecutivo,24,18.0,75.0,209.0,,Baja
ADO-00835,12/10/2024,Saturday,09:00,CDMX-Cuernavaca,Norte,Primera Plus,36,35.0,97.2,220.0,7700.0,Baja
ADO-00486,2024-02-18,Sunday,10:00,CDMX-Cuernavaca,TAPO,OCC,42,28.0,66.7,264.0,7392.0,Baja
ADO-00522,2024-06-28,Friday,09:00,CDMX-Queretaro,TAPO,Ejecutivo,24,20.0,83.3,352.0,7040.0,Baja
ADO-01406,2024-08-31,Saturday,09:00,CDMX-Pachuca,Norte,OCC,42,38.0,90.5,228.0,8664.0,Alta
ADO-01865,07/07/2024,Sunday,18:00,CDMX-cuernavaca,Observatorio,ADO GL,48,62.400000000000006,100.0,264.0,12672.0,Alta
ADO-00174,2024-09-07,Saturday,19:00,CDMX-cuernavaca,TAPO,ADO GL,48,,100.0,209.0,,Baja
ADO-00112,2024-05-21,Tuesday,22:00,CDMX - Pachuca,TAPO,ADO GL,48,31.0,64.6,190.0,5890.0,Baja
ADO-01707,2024-09-10,Tuesday,13:00,CDMX - Puebla,Norte,Primera Plus,36,26.0,72.2,266.0,6916.0,Baja
ADO-01524,2024-01-07,Sunday,09:00,CDMX-cuernavaca,Sur,OCC,42,37.0,88.1,220.0,8140.0,Alta
ADO-01272,23/06/2024,Sunday,16:00,CDMX-Puebla,TAPO,Primera Plus,36,33.0,91.7,336.0,11088.0,Baja
ADO-02203,2024-09-10,Tuesday,19:00,CDMX-Puebla,Norte,Primera Plus,36,31.0,86.1,280.0,8680.0,Baja
ADO-02246,2024-02-11,Sunday,21:00,CDMX-Cuernavaca,Observatorio,OCC,42,36.0,85.7,209.0,7524.0,Baja
ADO-01511,2024-03-01,Friday,13:00,CDMX - Puebla,Observatorio,Ejecutivo,24,12.0,50.0,280.0,3360.0,Baja
ADO-01585,2024/10/17,Thursday,18:00,CDMX-Puebla,Norte,Ejecutivo,24,20.0,83.3,308.0,6160.0,Baja
ADO-00913,2024-12-25,Wednesday,18:00,CDMX-cuernavaca,Sur,ADO GL,48,39.0,81.2,242.0,9438.0,Alta
ADO-01117,2024/07/17,Wednesday,18:00,CDMX-Puebla,Norte,ADO GL,48,48.0,100.0,280.0,13440.0,Alta
ADO-00355,2024/03/14,Thursday,20:00,CDMX-Tlaxcala,Observatorio,Ejecutivo,24,15.0,62.5,264.0,3960.0,Baja
ADO-00368,2024/06/29,Saturday,10:00,CDMX - Puebla,Poniente,OCC,42,35.0,83.3,336.0,11760.0,Baja
ADO-01843,2024-02-21,Wednesday,21:00,CDMX-Queretaro,Norte,OCC,42,,57.1,352.0,8448.0,Baja
ADO-01466,10/03/2024,Sunday,21:00,CDMX - Toluca,Sur,Ejecutivo,24,22.0,91.7,180.0,3960.0,Baja
ADO-01124,2024-11-28,Thursday,10:00,CDMX-Tlaxcala,Norte,OCC,42,21.0,50.0,264.0,5544.0,Baja
ADO-02309,2024/07/10,Wednesday,15:00,CDMX-Querétaro,Observatorio,OCC,42,29.0,69.0,384.0,11136.0,Alta
ADO-02413,17-10-2024,Thursday,12:00,CDMX-Queretaro,TAPO,Ejecutivo,24,12.0,50.0,320.0,3840.0,Baja
ADO-00742,2024-09-18,Wednesday,20:00,CDMX - Toluca,Sur,Ejecutivo,24,11.0,45.8,216.0,2376.0,Baja
ADO-00846,2024-01-22,Monday,22:00,CDMX-Querétaro,TAPO,OCC,42,29.0,69.0,384.0,11136.0,Alta
ADO-00606,12/11/2024,Tuesday,19:00,cdmx - puebla,Sur,Primera Plus,36,36.0,100.0,280.0,10080.0,Baja
ADO-01214,2024-06-16,Sunday,12:00,CDMX-Cuernavaca,Sur,ADO GL,48,45.0,93.8,220.0,9900.0,Baja
ADO-01628,23-07-2024,Tuesday,14:00,CDMX-Querétaro,Poniente,Primera Plus,36,28.0,77.8,304.0,8512.0,Alta
ADO-00791,2024-10-12,Saturday,19:00,CDMX - Pachuca,TAPO,ADO GL,48,48.0,100.0,228.0,10944.0,Baja
ADO-01858,2024-03-25,Monday,15:00,CDMX - Puebla,Observatorio,Primera Plus,36,22.0,61.1,266.0,5852.0,Baja
ADO-02232,19/11/2024,Tuesday,18:00,CDMX - Puebla,TAPO,ADO GL,48,,87.5,308.0,12936.0,Baja
ADO-01337,2024/07/15,Monday,11:00,CDMX-Pachuca,Sur,Ejecutivo,24,13.0,54.2,180.5,2346.5,Alta
ADO-00810,2024-07-20,Saturday,10:00,CDMX - Puebla,TAPO,ADO GL,48,35.0,72.9,308.0,10780.0,Alta
ADO-00479,2024-05-24,Friday,15:00,CDMX-Tlaxcala,TAPO,ADO GL,48,48.0,100.0,288.0,13824.0,Baja
ADO-00255,2024-10-05,Saturday,14:00,CDMX - Toluca,Poniente,Ejecutivo,24,16.0,66.7,180.0,2880.0,Baja
ADO-02218,13/06/2024,Thursday,22:00,CDMX-Pachuca,Sur,Primera Plus,36,23.0,63.9,190.0,4370.0,Baja
ADO-01042,2024-01-09,Tuesday,11:00,CDMX-Queretaro,Poniente,Ejecutivo,24,14.0,58.3,320.0,4480.0,Alta
ADO-01187,2024-11-06,Wednesday,09:00,CDMX - Toluca,Sur,OCC,42,28.0,66.7,180.0,5040.0,Baja
ADO-00247,2024-09-12,Thursday,06:00,CDMX-cuernavaca,Poniente,Primera Plus,36,21.0,58.3,220.0,4620.0,Baja
ADO-01733,24-11-2024,Sunday,21:00,CDMX-Cuernavaca,Poniente,Primera Plus,36,30.0,83.3,264.0,7920.0,Baja
ADO-02041,2024/07/13,Saturday,09:00,CDMX-cuernavaca,Poniente,Ejecutivo,24,21.0,87.5,264.0,5544.0,Alta
ADO-00444,2024-08-23,Friday,09:00,CDMX-Puebla,Sur,Primera Plus,36,28.0,77.8,308.0,8624.0,Alta
ADO-02006,2024-06-12,Wednesday,22:00,CDMX-Tlaxcala,TAPO,OCC,42,28.0,66.7,228.0,6384.0,Baja
ADO-02314,2024-05-05,Sunday,09:00,CDMX - Pachuca,Sur,OCC,42,42.0,100.0,180.5,7581.0,Baja
ADO-00773,2024-07-03,Wednesday,12:00,CDMX-Puebla,Poniente,Ejecutivo,24,17.0,70.8,266.0,4522.0,Alta
ADO-01976,2024-03-13,Wednesday,21:00,CDMX-Querétaro,Norte,Primera Plus,36,21.0,58.3,320.0,6720.0,Baja
ADO-02000,2024-09-09,Monday,11:00,CDMX-Pachuca,Observatorio,ADO GL,48,26.0,54.2,209.0,5434.0,Baja
ADO-01874,2024-11-20,Wednesday,10:00,CDMX-Queretaro,Observatorio,OCC,42,31.0,73.8,352.0,10912.0,Baja
